timestep,x,y,yaw,velocity
0.000000,-0.198957,-0.097978,-2.866779,0.000001
0.620000,-0.198957,-0.097978,-2.866779,0.000007
1.240000,-0.198956,-0.097977,-2.866780,0.000002
1.860000,-0.198956,-0.097977,-2.866781,0.000019
2.480000,-0.198956,-0.097976,-2.866780,0.000011
3.100000,-0.198956,-0.097976,-2.866781,0.000008
3.720000,-0.198955,-0.097975,-2.866781,0.000005
4.340000,-0.308689,-0.128911,-2.866857,0.193601
4.950000,-0.422343,-0.161007,-2.866517,0.193606
5.570000,-0.537891,-0.193663,-2.866274,0.193617
6.190000,-0.671300,-0.197270,-3.026079,0.216947
6.810000,-0.812498,-0.180287,3.082068,0.278840
7.430000,-0.988164,-0.089206,2.777355,0.244803
8.050000,-1.139797,-0.036487,2.804755,0.175619
8.670000,-1.259036,-0.013476,2.873811,0.192334
9.290000,-1.364406,-0.011636,3.007894,0.171253
9.910000,-1.483425,0.005617,2.998685,0.152341
10.530000,-1.580601,-0.019038,-3.101437,0.232287
11.150000,-1.695331,-0.031049,-3.055744,0.166107
11.770000,-1.783147,-0.078816,-2.862018,0.148137
12.390000,-1.860807,-0.141720,-2.672539,0.157461
13.010000,-1.925048,-0.217383,-2.485088,0.160107
13.620000,-1.972904,-0.302539,-2.298055,0.157389
14.240000,-2.030984,-0.396869,-2.226295,0.194277
14.860000,-2.104665,-0.491999,-2.228263,0.194111
15.480000,-2.223763,-0.576957,-2.434432,0.291118
16.100000,-2.372485,-0.624006,-2.683613,0.210285
16.720000,-2.482743,-0.675496,-2.694285,0.194342
17.340000,-2.591596,-0.726999,-2.696986,0.194082
17.960000,-2.700382,-0.778367,-2.698718,0.193984
